year,max_precip
1891,30.7964258618512
1892,26.7991149596044
1893,18.7272126889665
1894,27.5459937667042
1895,18.6545556721909
1896,21.7335095882522
1897,22.8188371010972
1898,15.7292366797033
1899,18.0507426942629
1900,16.7468138167643
1901,25.9016661325739
1902,10.3460159662205
1903,36.3585714763863
1904,16.7155946490424
1905,31.4905570379889
1906,20.4646425110105
1907,24.1505227693694
1908,27.5443393608765
1909,23.1321332908032
1910,22.2388437728054
1911,35.6901434704394
1912,43.2149636199363
1913,22.4250371775952
1914,38.3302347398008
1915,34.0254725995555
1916,40.0458736721355
1917,33.4707107571835
1918,36.1934512885137
1919,37.745298712452
1920,28.29935024087
1921,44.8485964957546
1922,18.5167070879349
1923,36.2890133595992
1924,42.0047376347906
1925,18.9582162504961
1926,15.9656210697566
1927,49.445119245189
1928,20.3158501842342
1929,28.846566165917
1930,21.0933729481925
1931,26.3255809564479
1932,23.060056288235
1933,22.4543753430351
1934,15.5208336076135
1935,28.2032148732789
1936,20.1269817604491
1937,24.93655635051
1938,21.9554360141746
1939,56.0980080684522
1940,28.7317869334578
1941,20.9984964098282
1942,35.2210539926133
1943,21.3625378772995
1944,31.8850998759316
1945,35.2973714671074
1946,32.0103818760254
1947,27.4029530126949
1948,29.4530545168618
1949,25.4029234619353
1950,32.3311662402037
1951,40.3627452926566
1952,26.2731805431924
1953,23.3791169708292
1954,22.5080215826125
1955,57.6599145451401
1956,23.6578044235792
1957,26.5091227571158
1958,45.4015443821846
1959,18.116282493443
1960,25.9327631110666
1961,32.8283807916233
1962,23.6378811685519
1963,20.4405392541501
1964,41.7113338836712
1965,45.8572498973816
1966,30.0751972283206
1967,17.2403588094672
1968,23.6949845392059
1969,41.4725039407964
1970,38.3044404826507
1971,19.2251093631067
1972,30.0555102787917
1973,36.3684020165204
1974,40.224829967386
1975,27.7050717688239
1976,24.2560834429979
1977,26.5238100387169
1978,25.5477989231058
1979,20.9940652348101
1980,48.0673855260916
1981,25.4391417945564
1982,31.5181982269993
1983,29.7386107812637
1984,40.0593716133716
1985,33.2817566529583
1986,34.0535163617684
1987,44.3312174285231
1988,22.8187796023733
1989,31.0437636406113
1990,25.7071319799806
1991,22.8540848262602
1992,34.6171188589385
1993,35.1314684862636
1994,26.8245309441356
1995,23.79704996755
1996,37.468847815644
1997,39.9043418970029
1998,20.3402151388028
1999,42.5947227797813
2000,44.4245303510986
2001,31.199222312438
2002,64.219582168986
2003,24.5364137249233
2004,36.1016495218778
2005,21.8284882722031
2006,46.6083874693958
2007,48.1027239586567
2008,31.227150175629
2009,29.3027567691168
2010,32.9215074873754
2011,25.2543190884465
2012,31.2974936790678
2013,25.887645981988
2014,29.1994567066186
2015,36.6793136621618
2016,39.2648109525772
2017,44.6156963274811
2018,18.6340396636597
2019,23.5241266585019
2020,29.2386115667059
2021,24.064244125893
2022,20.1008000961082
